Wall time,Step,Value
1643372901.860257,0,0.09732142835855484
1643372903.526832,1,0.18660713732242584
1643372905.213606,2,0.2645833194255829
1643372906.872109,3,0.3020833432674408
1643372908.547231,4,0.3217262029647827
1643372910.248587,5,0.35178571939468384
1643372911.918462,6,0.3720238208770752
1643372913.57352,7,0.4437499940395355
1643372915.246026,8,0.4598214328289032
1643372916.928082,9,0.5357142686843872
1643372918.622888,10,0.5976190567016602
1643372920.322911,11,0.625
1643372922.044754,12,0.6955357193946838
1643372923.726428,13,0.7330357432365417
1643372925.390333,14,0.776190459728241
1643372927.051004,15,0.8098214268684387
1643372928.733803,16,0.8613095283508301
1643372930.400749,17,0.886904776096344
1643372932.102987,18,0.9077380895614624
1643372933.766642,19,0.9318452477455139
1643372935.439884,20,0.942559540271759
1643372937.121143,21,0.9538690447807312
1643372938.791564,22,0.9544642567634583
1643372940.464137,23,0.7485119104385376
1643372942.143988,24,0.874404788017273
1643372943.831346,25,0.9273809790611267
1643372945.565343,26,0.9508928656578064
1643372947.248974,27,0.9514880776405334
1643372948.922087,28,0.949999988079071
1643372950.586475,29,0.9092261791229248
1643372952.270233,30,0.9601190686225891
1643372953.962201,31,0.9791666865348816
1643372955.636951,32,0.969345211982727
1643372957.297708,33,0.9824404716491699
1643372958.99263,34,0.9818452596664429
1643372960.669667,35,0.9869047403335571
1643372962.352913,36,0.9773809313774109
1643372964.093753,37,0.9892857074737549
1643372965.750692,38,0.9922618865966797
1643372967.415129,39,0.9607142806053162
1643372969.070903,40,0.9809523820877075
1643372970.728754,41,0.988095223903656
1643372972.402818,42,0.9877976179122925
1643372974.077688,43,0.9747023582458496
1643372975.751846,44,0.9836309552192688
1643372977.452043,45,0.9976190328598022
1643372979.121671,46,0.9988095164299011
1643372980.796142,47,0.9940476417541504
1643372982.473892,48,1.0
1643372984.167596,49,1.0
