Wall time,Step,Value
1643634437.314281,0,2.44311261177063
1643634439.024109,1,2.166651964187622
1643634440.768671,2,1.8292707204818726
1643634442.503918,3,1.4988266229629517
1643634444.221704,4,1.1602632999420166
1643634445.975684,5,0.8288053870201111
1643634447.707355,6,0.5176031589508057
1643634449.397596,7,0.29777297377586365
1643634451.087273,8,0.2537858188152313
1643634452.787935,9,0.16259559988975525
1643634454.46279,10,0.31396499276161194
1643634456.161358,11,0.1716705709695816
1643634457.842188,12,0.07031773775815964
1643634459.533783,13,0.058600593358278275
1643634461.357244,14,0.1332581639289856
1643634463.050112,15,0.11302732676267624
1643634464.751999,16,0.06025976315140724
1643634466.431837,17,0.05735050141811371
1643634468.11758,18,0.047439344227313995
1643634469.878763,19,0.03155042976140976
1643634471.60643,20,0.041930243372917175
1643634473.301457,21,0.06340975314378738
1643634475.02315,22,0.11772491037845612
1643634476.740112,23,0.016820715740323067
1643634478.482382,24,0.004335133358836174
1643634480.1808,25,0.001722198911011219
1643634481.908247,26,0.001255493494682014
1643634483.635662,27,0.0009990495163947344
1643634485.319926,28,0.000830146367661655
1643634487.048734,29,0.0007072635926306248
1643634488.76026,30,0.0006122306804172695
1643634490.472514,31,0.0005363685777410865
1643634492.168086,32,0.0004755144764203578
1643634493.853447,33,0.0004247479373589158
1643634495.553322,34,0.0003816183307208121
1643634497.280773,35,0.0003449599025771022
1643634498.965062,36,0.0003130084660369903
1643634500.658742,37,0.00028513543657027185
1643634502.337414,38,0.0002604859764687717
1643634504.027628,39,0.0002385528350714594
1643634505.735085,40,0.00021908027702011168
1643634507.427325,41,0.0002015888603636995
1643634509.158156,42,0.00018597567395772785
1643634510.876724,43,0.0001718623097985983
1643634512.575204,44,0.00015897542471066117
1643634514.303356,45,0.0001473090669605881
1643634515.988987,46,0.00013662422134075314
1643634517.71511,47,0.00012687293929047883
1643634519.385465,48,0.00011796604667324573
1643634521.070417,49,0.00010976412886520848
1643634522.761058,50,0.00010219182877335697
1643634524.456105,51,9.534064884064719e-05
1643634526.160776,52,8.899263775674626e-05
1643634527.86338,53,8.308630640385672e-05
1643634529.573962,54,7.765140617266297e-05
1643634531.298887,55,7.244868902489543e-05
1643634532.996484,56,6.784660217817873e-05
1643634534.678274,57,6.355726509355009e-05
1643634536.371058,58,5.9477952163433656e-05
1643634538.05789,59,5.590146247413941e-05
1643634539.775225,60,5.2392093493836e-05
1643634541.458722,61,4.9216865591006353e-05
1643634543.14976,62,4.622078631655313e-05
1643634544.857958,63,4.33917848567944e-05
1643634546.591822,64,4.083575549884699e-05
1643634548.332848,65,3.838608608930372e-05
1643634550.044478,66,3.612328873714432e-05
1643634551.756293,67,3.3992175303865224e-05
1643634553.462094,68,3.2106014259625226e-05
1643634555.136635,69,3.0176674044923857e-05
