Wall time,Step,Value
1643646872.339875,0,0.13861985504627228
1643646875.037197,1,0.29812347888946533
1643646877.756019,2,0.4376513361930847
1643646880.48221,3,0.5423728823661804
1643646883.297371,4,0.6065375208854675
1643646886.047163,5,0.6622276306152344
1643646888.757803,6,0.7109563946723938
1643646891.461662,7,0.7902542352676392
1643646894.14729,8,0.8468523025512695
1643646896.881446,9,0.8877118825912476
1643646899.609469,10,0.9210048317909241
1643646902.437848,11,0.9367433190345764
1643646905.199093,12,0.9458232522010803
1643646907.910877,13,0.9464285969734192
1643646910.604756,14,0.9657990336418152
1643646913.331672,15,0.9860774874687195
1643646916.074707,16,0.9842615127563477
1643646918.838482,17,0.9839588403701782
1643646921.616142,18,0.9900121092796326
1643646924.411712,19,0.9748789072036743
1643646927.154952,20,0.9763922691345215
1643646929.920562,21,0.980629563331604
1643646932.650689,22,0.9969733953475952
1643646935.343072,23,0.9894067645072937
1643646938.056222,24,0.9966707229614258
1643646940.803801,25,0.9984866976737976
1643646943.508047,26,0.994854748249054
1643646946.233712,27,0.9897094368934631
1643646949.010406,28,0.9993946552276611
1643646951.721943,29,0.9981840252876282
1643646954.416999,30,0.9969733953475952
1643646957.118605,31,0.9860774874687195
1643646959.832014,32,0.9727603197097778
1643646962.542783,33,0.9888014793395996
1643646965.306075,34,0.9966707229614258
1643646968.010532,35,0.9863801598548889
1643646970.712114,36,0.9918280839920044
1643646973.491491,37,0.991525411605835
1643646976.209653,38,0.995460033416748
1643646978.912,39,0.9996973276138306
1643646981.613861,40,1.0
1643646984.330269,41,1.0
1643646987.050147,42,1.0
1643646989.761422,43,1.0
1643646992.470413,44,1.0
1643646995.191044,45,1.0
1643646997.969541,46,1.0
1643647000.700885,47,1.0
1643647003.401482,48,1.0
1643647006.140833,49,1.0
1643647008.889689,50,1.0
1643647011.646391,51,1.0
1643647014.399782,52,1.0
1643647017.179759,53,1.0
1643647019.943102,54,1.0
1643647022.646866,55,1.0
1643647025.432818,56,1.0
1643647028.140249,57,1.0
1643647030.879512,58,1.0
1643647033.596078,59,1.0
1643647036.32686,60,1.0
1643647039.059362,61,1.0
1643647041.802143,62,1.0
1643647044.508425,63,1.0
1643647047.24002,64,1.0
1643647049.95072,65,1.0
1643647052.717524,66,1.0
1643647055.450564,67,1.0
1643647058.14984,68,1.0
1643647060.843022,69,1.0
