Wall time,Step,Value
1643631664.275434,0,0.15223971009254456
1643631665.949261,1,0.2669491469860077
1643631667.621173,2,0.3002421259880066
1643631669.304731,3,0.3498789370059967
1643631670.976877,4,0.4001210629940033
1643631672.656233,5,0.412227600812912
1643631674.336284,6,0.46700969338417053
1643631676.024885,7,0.5320823192596436
1643631677.717308,8,0.5441888570785522
1643631679.421613,9,0.630145251750946
1643631681.240933,10,0.6876513361930847
1643631682.92258,11,0.7433413863182068
1643631684.602852,12,0.783595621585846
1643631686.294182,13,0.8214285969734192
1643631688.012227,14,0.8598668575286865
1643631689.713622,15,0.8889225125312805
1643631691.415424,16,0.9134382605552673
1643631693.099662,17,0.9340193867683411
1643631694.889388,18,0.939769983291626
1643631696.618767,19,0.9636803865432739
1643631698.292835,20,0.9309927225112915
1643631699.974993,21,0.9648910164833069
1643631701.655864,22,0.9715496301651001
1643631703.332433,23,0.9736682772636414
1643631705.037447,24,0.9785109162330627
1643631706.721815,25,0.9748789072036743
1643631708.439461,26,0.976089596748352
1643631710.153085,27,0.9667070508003235
1643631711.818406,28,0.986985445022583
1643631713.505647,29,0.9763922691345215
1643631715.190879,30,0.9763922691345215
1643631716.884839,31,0.972154974937439
1643631718.585594,32,0.9748789072036743
1643631720.288129,33,0.9842615127563477
1643631721.984768,34,0.9945520758628845
1643631723.719078,35,0.990314781665802
1643631725.405843,36,0.9996973276138306
1643631727.082117,37,0.9996973276138306
1643631728.756406,38,1.0
1643631730.475538,39,1.0
1643631732.172228,40,1.0
1643631733.873031,41,1.0
1643631735.574274,42,1.0
1643631737.29195,43,1.0
1643631738.970528,44,1.0
1643631740.672457,45,1.0
1643631742.35387,46,1.0
1643631744.039044,47,1.0
1643631745.754154,48,1.0
1643631747.453725,49,1.0
1643631749.157859,50,1.0
1643631750.853368,51,1.0
1643631752.593998,52,1.0
1643631754.27209,53,1.0
1643631755.955938,54,1.0
1643631757.631018,55,1.0
1643631759.345542,56,1.0
1643631761.033393,57,1.0
1643631762.73823,58,1.0
1643631764.49995,59,1.0
1643631766.177617,60,1.0
1643631767.890151,61,1.0
1643631769.563511,62,1.0
1643631771.259674,63,1.0
1643631772.966294,64,1.0
1643631774.645397,65,1.0
1643631776.357919,66,1.0
1643631778.091997,67,1.0
1643631779.761432,68,1.0
1643631781.473758,69,1.0
