Wall time,Step,Value
1643631664.275058,0,2.3649911880493164
1643631665.948935,1,2.0832467079162598
1643631667.620838,2,1.973751425743103
1643631669.304211,3,1.7806308269500732
1643631670.976276,4,1.6421257257461548
1643631672.655678,5,1.6099553108215332
1643631674.335895,6,1.4471381902694702
1643631676.024388,7,1.2964190244674683
1643631677.716958,8,1.2260407209396362
1643631679.420992,9,1.0092458724975586
1643631681.240451,10,0.8533464074134827
1643631682.922073,11,0.6994392275810242
1643631684.602289,12,0.6074782013893127
1643631686.293748,13,0.49429863691329956
1643631688.011694,14,0.3973042070865631
1643631689.712911,15,0.316388338804245
1643631691.414998,16,0.2550922930240631
1643631693.098991,17,0.17973166704177856
1643631694.888827,18,0.1700880080461502
1643631696.618126,19,0.11511822789907455
1643631698.292125,20,0.20363833010196686
1643631699.97449,21,0.10827422142028809
1643631701.6553,22,0.08465664088726044
1643631703.331906,23,0.07748875766992569
1643631705.036881,24,0.07141498476266861
1643631706.72124,25,0.08281011879444122
1643631708.438942,26,0.07028208673000336
1643631710.152538,27,0.09290570765733719
1643631711.817836,28,0.04196812957525253
1643631713.505055,29,0.0666465014219284
1643631715.190467,30,0.07808026671409607
1643631716.884252,31,0.08692122995853424
1643631718.585017,32,0.07868325710296631
1643631720.287601,33,0.053419146686792374
1643631721.984257,34,0.025274479761719704
1643631723.718531,35,0.03623266890645027
1643631725.405367,36,0.003945119213312864
1643631727.08167,37,0.003557589603587985
1643631728.75581,38,0.0011695688590407372
1643631730.475093,39,0.0009542169864289463
1643631732.17167,40,0.0008108004694804549
1643631733.872738,41,0.000704993843100965
1643631735.573928,42,0.0006204650271683931
1643631737.291437,43,0.0005510406335815787
1643631738.96996,44,0.0004932837327942252
1643631740.671928,45,0.0004444491642061621
1643631742.353206,46,0.0004025839443784207
1643631744.038781,47,0.0003656958579085767
1643631745.75367,48,0.00033367701689712703
1643631747.453128,49,0.0003055738634429872
1643631749.157225,50,0.00028068191022612154
1643631750.85278,51,0.0002585435868240893
1643631752.593271,52,0.00023857491032686085
1643631754.271592,53,0.0002205646742368117
1643631755.955543,54,0.00020414727623574436
1643631757.630477,55,0.00018923720926977694
1643631759.344954,56,0.00017568113980814815
1643631761.032889,57,0.00016298356058541685
1643631762.737691,58,0.00015113470726646483
1643631764.499433,59,0.0001394435385009274
1643631766.177011,60,0.0001278654526686296
1643631767.889736,61,0.00011717707820935175
1643631769.563006,62,0.00010732896043919027
1643631771.258764,63,9.942591714207083e-05
1643631772.965805,64,9.152124403044581e-05
1643631774.644822,65,8.483091369271278e-05
1643631776.357263,66,7.878577889641747e-05
1643631778.091443,67,7.31448526494205e-05
1643631779.760891,68,6.809055776102468e-05
1643631781.473126,69,6.362112617352977e-05
