Wall time,Step,Value
1643692906.481482,0,2.0298502445220947
1643692908.513731,1,1.1945899724960327
1643692910.516398,2,0.5908162593841553
1643692912.584929,3,0.3326050639152527
1643692918.403576,4,0.20901234447956085
1643692920.406465,5,0.1566084772348404
1643692922.446311,6,0.13740360736846924
1643692924.445027,7,0.07158417254686356
1643692926.435004,8,0.06540296971797943
1643692928.548279,9,0.05781514197587967
1643692930.556176,10,0.048804063349962234
1643692932.564831,11,0.04889112338423729
1643692934.575914,12,0.06182553246617317
1643692936.616702,13,0.033457882702350616
1643692938.617952,14,0.10992693156003952
1643692940.63257,15,0.029335569590330124
1643692942.641022,16,0.09528157114982605
1643692944.681445,17,0.017341485247015953
1643692946.688242,18,0.03098447620868683
1643692948.774554,19,0.0018850852502509952
1643692950.785754,20,0.0009298628428950906
1643692952.801156,21,0.0007298451382666826
1643692954.795542,22,0.0006088373484089971
1643692956.772802,23,0.0005228130612522364
1643692958.763502,24,0.0004576764767989516
1643692960.761124,25,0.0004059633647557348
1643692962.728782,26,0.00036263465881347656
1643692964.737389,27,0.00032684311736375093
1643692966.754371,28,0.00029612984508275986
1643692968.7579,29,0.0002699726610444486
1643692970.768026,30,0.0002466432051733136
1643692972.760829,31,0.0002263762871734798
1643692974.769804,32,0.00020822447550017387
1643692976.80339,33,0.00019137447816319764
1643692978.804112,34,0.0001768036891007796
1643692980.827206,35,0.00016353187675122172
1643692982.869385,36,0.00015154934953898191
1643692984.84145,37,0.0001405933144269511
1643692986.81269,38,0.00013059162301942706
1643692988.796619,39,0.00012156728189438581
1643692990.78802,40,0.00011330094275763258
1643692992.814805,41,0.00010575900523690507
1643692994.804459,42,9.867567132459953e-05
1643692996.790683,43,9.231323201674968e-05
1643692998.756918,44,8.644080662634224e-05
1643693000.720482,45,8.089053153526038e-05
1643693002.723419,46,7.582770922454074e-05
1643693004.763527,47,7.100016227923334e-05
1643693006.789922,48,6.670075526926666e-05
1643693008.827883,49,6.261228554649279e-05
1643693010.821797,50,5.871582106919959e-05
1643693012.822015,51,5.517914905794896e-05
1643693014.797498,52,5.1855902711395174e-05
1643693016.822674,53,4.8728888941695914e-05
1643693018.885366,54,4.58627037005499e-05
1643693020.930024,55,4.3061343603767455e-05
1643693022.930707,56,4.049977724207565e-05
1643693024.947983,57,3.81139361707028e-05
1643693026.934506,58,3.584006481105462e-05
1643693028.943542,59,3.386408934602514e-05
1643693030.935901,60,3.181196370860562e-05
1643693032.964293,61,3.0008603062015027e-05
1643693034.963186,62,2.8248121452634223e-05
1643693037.032976,63,2.666382169991266e-05
1643693039.009784,64,2.5095530872931704e-05
1643693041.001086,65,2.3677943318034522e-05
1643693042.987052,66,2.2314779926091433e-05
1643693044.991951,67,2.109038905473426e-05
1643693046.990411,68,1.9907887690351345e-05
1643693049.138929,69,1.879010596894659e-05
